1700,1.0,77.39519284103913
1500,1.0,79.14408012921476
1300,1.0,79.34587266689863
1100,1.0,78.8553840674487
1000,1.0,81.78126574964938
900,1.0,80.94639041258148
800,1.0,80.05218092504718
700,1.0,79.4239413143168
600,1.0,78.7180406851937
500,1.0,78.68801872826715
400,1.0,78.5251095232615
300,1.0,79.5255478825895
250,1.0,78.05689272523965
200,1.0,78.69284780951332
180,1.0,77.09737829092244
160,1.0,77.3574386281732
140,1.0,78.18953163167414
120,1.0,77.08030102803224
100,1.0,79.367886844659
90,1.0,77.98752620987696
80,1.0,79.05317818144918
70,1.0,78.63532712934197
60,1.0,79.50019571286937
55,1.0,77.61743657959383
50,1.0,81.02268327754686
45,1.0,80.6305862166563
40,1.0,78.67522032295132
35,1.0,80.94968208998243
30,1.0,79.71980803553916
25,1.0,78.73377632045126
20,1.0,77.69338717338101
15,1.0,79.68210777145354
10,1.0,79.06452298329955
