1700,0.0116,498502,0.164,3.055
1500,0.0116,489474,0.164,3.055
1300,0.0116,491881,0.164,3.055
1100,0.0116,486616,0.164,3.055
1000,0.0116,489953,0.164,3.055
900,0.0116,531630,0.164,3.055
800,0.0116,527702,0.164,3.055
700,0.0116,517864,0.164,3.055
600,0.0116,517864,0.164,3.055
500,0.0116,520560,0.164,3.055
400,0.0116,502510,0.164,3.055
300,0.0116,525207,0.164,3.055
250,0.0116,518132,0.164,3.055
200,0.0116,522191,0.164,3.055
180,0.0116,507354,0.164,3.055
160,0.0116,517061,0.164,3.055
140,0.0116,518670,0.164,3.055
120,0.0116,522191,0.164,3.055
100,0.0116,514931,0.164,3.055
90,0.0116,518670,0.164,3.055
80,0.0116,525760,0.164,3.055
70,0.0116,527424,0.164,3.055
60,0.0116,512555,0.164,3.055
55,0.0116,515461,0.164,3.055
50,0.0116,522464,0.164,3.055
45,0.0116,530783,0.164,3.055
40,0.0116,515196,0.164,3.055
35,0.0116,518132,0.164,3.055
30,0.0116,517061,0.164,3.055
25,0.0116,515461,0.164,3.055
20,0.0116,521646,0.164,3.055
15,0.0116,520289,0.164,3.055
10,0.0116,524932,0.164,3.055
