4,734.616,915,655,33.79
8,861.423,1647,1029,65.496
16,1452.248,3112,1847,116.434
24,2214.132,4577,2905,167.979
32,3117.036,6042,4132,205.882
48,4211.788,8972,6035,263.758
64,5379.157,11901,7995,307.444
128,9784.875,23620,13202,450.377
