4,85.87,209.80,458,30.173
8,113.20,377.65,681,58.74
16,152.86,713.34,1180,99.457
24,197.34,1049.04,1676,134.918
32,224.81,1384.73,1954,155.074
48,317.79,2056.12,2749,180.149
64,370.34,2727.5,3091,191.985
128,460.21,5413.05,3450,254.944
